epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.542,0.75266,1.56185,1.68534,1.18903,0.22457,0.5427,0.3916,0.29527,0.22419,0.54017,0.38196,0.27699,0.81197,1.76432,1.78446,1.29279,0.00036954,0.00036954,0.00036954
2,297.683,0.74154,1.44937,1.4533,1.16811,0.4441,0.58279,0.50886,0.41263,0.44172,0.57816,0.50394,0.36495,0.62962,1.61134,1.36718,1.11578,0.000727666,0.000727666,0.000727666
3,436.446,0.73091,1.3935,1.38602,1.16654,0.46419,0.61753,0.57882,0.47086,0.46477,0.61624,0.56658,0.42299,0.5915,1.25335,1.14158,1.06552,0.00107357,0.00107357,0.00107357
4,576.518,0.69628,1.31333,1.32232,1.13692,0.55933,0.64741,0.62894,0.54023,0.56134,0.64966,0.63228,0.50085,0.5592,1.13888,0.9434,1.03764,0.00105601,0.00105601,0.00105601
5,718.741,0.6612,1.23712,1.238,1.12308,0.62943,0.71616,0.71679,0.63073,0.62756,0.7136,0.71456,0.59785,0.53615,0.93611,0.89814,0.99992,0.00103767,0.00103767,0.00103767
6,860.306,0.64255,1.17587,1.18535,1.10532,0.60498,0.72571,0.70955,0.62281,0.60261,0.72365,0.70918,0.56041,0.4989,1.04947,0.9139,0.98894,0.00101934,0.00101934,0.00101934
7,1005.08,0.62863,1.13731,1.15243,1.09826,0.62961,0.74968,0.74819,0.66449,0.62642,0.74459,0.74705,0.59905,0.49698,0.93421,0.8765,0.98796,0.00100101,0.00100101,0.00100101
8,1159.12,0.61869,1.09285,1.11988,1.08932,0.61701,0.69518,0.72562,0.64209,0.61225,0.69005,0.72019,0.59144,0.50525,0.91436,0.85808,0.98859,0.000982679,0.000982679,0.000982679
9,1304.17,0.59554,1.06632,1.06493,1.07476,0.61157,0.71509,0.72187,0.64947,0.61157,0.71509,0.72124,0.60218,0.49312,0.89872,0.85159,0.98689,0.000964348,0.000964348,0.000964348
10,1461.21,0.58439,1.04293,1.03704,1.06234,0.7119,0.74053,0.81166,0.74216,0.7119,0.74053,0.80761,0.70262,0.44675,0.78719,0.72146,0.9324,0.000946016,0.000946016,0.000946016
